,precision,recall,f1-score,support
0.0,0.6932907348242812,0.6027777777777777,0.6448736998514115,360.0
1.0,0.9075144508670521,0.9515151515151515,0.9289940828402367,330.0
2.0,0.6647727272727273,0.7267080745341615,0.6943620178041543,322.0
3.0,0.5685483870967742,0.444794952681388,0.4991150442477876,317.0
4.0,0.6720554272517321,0.8016528925619835,0.7311557788944724,363.0
accuracy,0.7074468085106383,0.7074468085106383,0.7074468085106383,0.7074468085106383
macro avg,0.7012363454625132,0.7054897698140925,0.6997001247276124,1692.0
weighted avg,0.7017182094011482,0.7074468085106383,0.700907899398325,1692.0
