,precision,recall,f1-score,support
0.0,0.9918367346938776,1.0,0.9959016393442623,243.0
1.0,0.9937106918238994,0.9905956112852664,0.9921507064364207,319.0
2.0,0.9908256880733946,0.9642857142857143,0.9773755656108598,224.0
3.0,0.9829268292682927,0.9950617283950617,0.9889570552147239,405.0
accuracy,0.9890848026868178,0.9890848026868178,0.9890848026868178,0.9890848026868178
macro avg,0.9898249859648661,0.9874857634915106,0.9885962416515667,1191.0
weighted avg,0.9891186878291646,0.9890848026868178,0.9890511400274306,1191.0
