,precision,recall,f1-score,support
0.0,0.9829059829059829,0.9956709956709957,0.989247311827957,1155.0
1.0,0.987719298245614,0.9920704845814978,0.98989010989011,1135.0
2.0,0.9612468407750632,0.9878787878787879,0.9743808710503843,1155.0
3.0,0.9519145146927872,0.9263431542461005,0.9389547650417216,1154.0
4.0,0.9675438596491228,0.9500430663221361,0.9587136027813995,1161.0
accuracy,0.9703125,0.9703125,0.9703125,0.9703125
macro avg,0.970266099253714,0.9704012977399035,0.9702373321183144,5760.0
weighted avg,0.9702058482410568,0.9703125,0.9701625204231094,5760.0
