,precision,recall,f1-score,support
0.0,0.9836065573770492,0.9836065573770492,0.9836065573770492,61.0
1.0,0.9629629629629629,0.9811320754716981,0.9719626168224299,53.0
2.0,0.9772727272727273,1.0,0.9885057471264368,43.0
3.0,1.0,0.9666666666666667,0.983050847457627,60.0
accuracy,0.9815668202764977,0.9815668202764977,0.9815668202764977,0.9815668202764977
macro avg,0.9809605619031849,0.9828513248788535,0.9817814421958857,217.0
weighted avg,0.9818422318422318,0.9815668202764977,0.981579800301766,217.0
