,precision,recall,f1-score,support
0.0,0.9329896907216495,0.9378238341968912,0.9354005167958656,193.0
1.0,0.9695652173913043,0.9737991266375546,0.971677559912854,229.0
2.0,0.9504950495049505,0.9320388349514563,0.9411764705882353,206.0
3.0,0.9428571428571428,0.9506172839506173,0.9467213114754098,243.0
accuracy,0.9494833524684271,0.9494833524684271,0.9494833524684271,0.9494833524684271
macro avg,0.9489767751187619,0.9485697699341298,0.9487439646930913,871.0
weighted avg,0.9494990941494749,0.9494833524684271,0.9494627928718101,871.0
