,precision,recall,f1-score,support
0.0,0.9006309148264984,0.8798151001540832,0.8901013250194855,649.0
1.0,0.8392709196354599,0.8255908720456397,0.8323746918652425,1227.0
2.0,0.9815950920245399,0.9861325115562404,0.9838585703305149,2596.0
3.0,0.8568281938325991,0.8549450549450549,0.8558855885588559,910.0
4.0,0.855531686358754,0.8671747414262384,0.8613138686131386,1837.0
accuracy,0.9024795678071755,0.9024795678071755,0.9024795678071755,0.9024795678071755
macro avg,0.8867713613355702,0.8827316560254512,0.8847068088774475,7219.0
weighted avg,0.9023190338328729,0.9024795678071755,0.9023667845498281,7219.0
