,precision,recall,f1-score,support
0.0,0.9919816723940436,0.9988465974625144,0.9954022988505746,867.0
1.0,0.9933259176863182,0.9933259176863182,0.9933259176863182,899.0
2.0,0.9966178128523112,0.9888143176733781,0.9927007299270074,894.0
3.0,0.9933628318584071,0.9911699779249448,0.9922651933701657,1359.0
4.0,0.9857904085257548,0.9928443649373881,0.9893048128342247,559.0
accuracy,0.9927916120576671,0.9927916120576671,0.9927916120576671,0.9927916120576671
macro avg,0.992215728663367,0.9930002351369087,0.9925997905336581,4578.0
weighted avg,0.9928050156219035,0.9927916120576671,0.9927911825737396,4578.0
