,precision,recall,f1-score,support
0.0,0.9664634146341463,0.9783950617283951,0.9723926380368098,324.0
1.0,0.9911616161616161,0.9861809045226131,0.9886649874055415,796.0
accuracy,0.9839285714285714,0.9839285714285714,0.9839285714285714,0.9839285714285714
macro avg,0.9788125153978813,0.982287983125504,0.9805288127211756,1120.0
weighted avg,0.9840167792911696,0.9839285714285714,0.9839576291953013,1120.0
