,precision,recall,f1-score,support
0.0,0.25572519083969464,0.3145539906103286,0.28210526315789475,213.0
1.0,0.46814404432132967,0.4121951219512195,0.4383916990920882,410.0
2.0,0.19362186788154898,0.43147208121827413,0.2672955974842768,197.0
3.0,0.7053231939163498,0.4830729166666667,0.5734157650695517,768.0
accuracy,0.4357682619647355,0.4357682619647355,0.4357682619647355,0.4357682619647355
macro avg,0.4057035742397308,0.4103235276116223,0.3903020812009529,1588.0
weighted avg,0.520302421108956,0.4357682619647355,0.4615047594195252,1588.0
