,precision,recall,f1-score,support
0.0,0.23076923076923078,0.168,0.19444444444444445,125.0
1.0,0.22123893805309736,0.25252525252525254,0.23584905660377362,99.0
2.0,0.1864406779661017,0.21568627450980393,0.2,102.0
3.0,0.25,0.25892857142857145,0.2543859649122807,112.0
4.0,0.2777777777777778,0.2777777777777778,0.2777777777777778,126.0
accuracy,0.23404255319148937,0.23404255319148937,0.23404255319148937,0.23404255319148937
macro avg,0.23324532491324151,0.23458357524828113,0.23249144874765532,564.0
weighted avg,0.23540027990417173,0.23404255319148937,0.23323730537146203,564.0
