,precision,recall,f1-score,support
0.0,0.9784824462061155,0.9874285714285714,0.9829351535836178,875.0
1.0,0.9732034104750305,0.9755799755799756,0.9743902439024391,819.0
2.0,0.9906015037593985,0.9669724770642202,0.978644382544104,545.0
3.0,0.9806629834254144,0.9888579387186629,0.984743411927878,359.0
accuracy,0.9795996920708238,0.9795996920708238,0.9795996920708238,0.9795996920708238
macro avg,0.9807375859664897,0.9797097406978574,0.9801782979895097,2598.0
weighted avg,0.9796618799876816,0.9795996920708238,0.9795912018900723,2598.0
