,precision,recall,f1-score,support
0.0,0.9770114942528736,0.9845559845559846,0.9807692307692307,259.0
1.0,0.9299363057324841,0.948051948051948,0.9389067524115756,308.0
2.0,0.9516616314199395,0.9375,0.944527736131934,336.0
3.0,0.9927536231884058,0.9856115107913669,0.9891696750902527,278.0
4.0,0.9859154929577465,0.9831460674157303,0.9845288326300984,356.0
accuracy,0.966818477553676,0.966818477553676,0.966818477553676,0.966818477553676
macro avg,0.9674557095102898,0.9677731021630059,0.9675804454066184,1537.0
weighted avg,0.9669460573022339,0.966818477553676,0.9668479270941646,1537.0
