,precision,recall,f1-score,support
0.0,0.8734177215189873,0.4825174825174825,0.6216216216216216,143.0
1.0,0.5562913907284768,0.7241379310344828,0.6292134831460673,116.0
2.0,0.5694444444444444,0.6456692913385826,0.6051660516605165,127.0
3.0,0.40703517587939697,0.6136363636363636,0.48942598187311176,132.0
4.0,1.0,0.45544554455445546,0.6258503401360545,101.0
accuracy,0.5848142164781907,0.5848142164781907,0.5848142164781907,0.5848142164781907
macro avg,0.6812377465142612,0.5842813226162733,0.5942554956874744,619.0
weighted avg,0.672821685237873,0.5848142164781907,0.5921677842628652,619.0
