,precision,recall,f1-score,support
0.0,0.8205128205128205,0.875,0.8468809073724007,256.0
1.0,0.7016393442622951,0.8359375,0.7629233511586452,256.0
2.0,0.7880794701986755,0.46484375,0.5847665847665848,256.0
3.0,0.5011494252873563,0.8515625,0.6309696092619392,256.0
4.0,0.9310344827586207,0.421875,0.5806451612903226,256.0
accuracy,0.68984375,0.68984375,0.68984375,0.68984375
macro avg,0.7484831086039535,0.68984375,0.6812371227699784,1280.0
weighted avg,0.7484831086039535,0.68984375,0.6812371227699784,1280.0
