,precision,recall,f1-score,support
0.0,0.707808564231738,0.45691056910569106,0.5553359683794467,615.0
1.0,0.7796901893287436,0.5531135531135531,0.6471428571428572,819.0
2.0,0.6330749354005168,0.7980456026058632,0.7060518731988473,614.0
3.0,0.6654954321855235,0.8402839396628217,0.7427450980392156,1127.0
accuracy,0.6837795275590551,0.6837795275590551,0.6837795275590551,0.6837795275590551
macro avg,0.6965172802866304,0.6620884161219822,0.6628189491900918,3175.0
weighted avg,0.6968787069202401,0.6837795275590551,0.6746869909252435,3175.0
