,precision,recall,f1-score,support
0.0,0.24601593625498008,0.27353266888150607,0.25904562139486104,1806.0
1.0,0.4675997926386729,0.4997229916897507,0.4831280128548474,1805.0
2.0,0.5077910174152154,0.6135105204872646,0.555667001003009,2709.0
3.0,0.6668499175371083,0.44776670358065707,0.5357773851590105,2709.0
accuracy,0.4730313434488869,0.4730313434488869,0.4730313434488869,0.4730313434488869
macro avg,0.4720641659614942,0.45863322115979466,0.45840450510293196,9029.0
weighted avg,0.49511847373741763,0.4730313434488869,0.4758672386260969,9029.0
