,precision,recall,f1-score,support
0.0,0.5232432432432432,0.7882736156351792,0.6289798570500326,614.0
1.0,0.7546875,0.5890243902439024,0.6616438356164382,820.0
2.0,0.8271604938271605,0.7638436482084691,0.7942421676545302,614.0
3.0,0.7773512476007678,0.7193605683836589,0.7472324723247232,1126.0
accuracy,0.7076244486452425,0.7076244486452425,0.7076244486452425,0.7076244486452425
macro avg,0.7206106211677928,0.7151255556178023,0.708024583161431,3174.0
weighted avg,0.7319751573281955,0.7076244486452425,0.7113390145594579,3174.0
