,precision,recall,f1-score,support
0.0,0.9836065573770492,0.96,0.97165991902834,125.0
1.0,0.9519230769230769,1.0,0.9753694581280787,99.0
2.0,0.9696969696969697,0.9411764705882353,0.955223880597015,102.0
3.0,0.9090909090909091,0.9821428571428571,0.944206008583691,112.0
4.0,1.0,0.9365079365079365,0.9672131147540983,126.0
accuracy,0.9627659574468085,0.9627659574468085,0.9627659574468085,0.9627659574468085
macro avg,0.962863502617601,0.9639654528478058,0.9627344762182446,564.0
weighted avg,0.9643944627921783,0.9627659574468085,0.9628933111250134,564.0
