,precision,recall,f1-score,support
0.0,0.8471337579617835,0.7125,0.7740058195926286,560.0
1.0,0.8805460750853242,0.9214285714285714,0.9005235602094239,560.0
2.0,0.8692307692307693,0.5380952380952381,0.6647058823529411,210.0
3.0,0.6551724137931034,0.9228571428571428,0.7663107947805456,350.0
accuracy,0.8041666666666667,0.8041666666666667,0.8041666666666667,0.8041666666666667
macro avg,0.813020754017745,0.7737202380952382,0.7763865142338848,1680.0
weighted avg,0.8210413767097787,0.8041666666666667,0.8009127774740821,1680.0
