,precision,recall,f1-score,support
0.0,0.9657794676806084,0.9941291585127201,0.9797492767598843,1022.0
1.0,0.9931573802541545,0.9816425120772947,0.9873663751214772,1035.0
2.0,0.9610516066212269,0.987,0.9738529847064626,1000.0
3.0,0.9687174139728885,0.8984526112185687,0.9322629202207727,1034.0
4.0,0.9527856468366384,0.9805636540330418,0.9664750957854407,1029.0
accuracy,0.9681640625,0.9681640625,0.9681640625,0.9681640625
macro avg,0.9682983030731032,0.9683575871683251,0.9679413305188074,5120.0
weighted avg,0.9683723335540482,0.9681640625,0.9678796243900958,5120.0
