,precision,recall,f1-score,support
0.0,0.9582066869300911,0.9531368102796675,0.9556650246305418,1323.0
1.0,0.9860248447204969,0.9779260780287474,0.981958762886598,1948.0
2.0,0.963985594237695,0.9486119314825753,0.956236975290265,1693.0
3.0,0.9457161543492478,0.965287049399199,0.9554013875123885,1498.0
4.0,0.9927657206455203,0.9889135254988913,0.9908358789225215,1804.0
5.0,0.9722877358490566,0.9874251497005988,0.9797979797979798,1670.0
accuracy,0.971316425120773,0.971316425120773,0.971316425120773,0.971316425120773
macro avg,0.9698311227886847,0.9702167573982798,0.9699826681733824,9936.0
weighted avg,0.9714033950781071,0.971316425120773,0.9713195981469535,9936.0
