,precision,recall,f1-score,support
0.0,0.12040133779264214,0.31952662721893493,0.17489878542510123,338.0
1.0,0.12286689419795221,0.07692307692307693,0.09461235216819974,468.0
2.0,0.0,0.0,0.0,433.0
3.0,0.0,0.0,0.0,396.0
4.0,0.0,0.0,0.0,448.0
5.0,0.0,0.0,0.0,410.0
6.0,0.11458333333333333,0.5683890577507599,0.19071902090770013,329.0
accuracy,0.11729270021261516,0.11729270021261516,0.11729270021261516,0.11729270021261516
macro avg,0.051121652189132526,0.13783410884182454,0.06574716550014302,2822.0
weighted avg,0.04815566099405434,0.11729270021261516,0.05887346852127393,2822.0
