,precision,recall,f1-score,support
0.0,0.995475113122172,0.990990990990991,0.9932279909706545,222.0
1.0,0.9836956521739131,0.9945054945054945,0.9890710382513661,182.0
2.0,0.9883720930232558,0.9883720930232558,0.9883720930232558,86.0
3.0,1.0,0.9864864864864865,0.9931972789115647,74.0
accuracy,0.9911347517730497,0.9911347517730497,0.9911347517730497,0.9911347517730497
macro avg,0.9918857145798352,0.990088766251557,0.9909671002892103,564.0
weighted avg,0.9911845457602382,0.9911347517730497,0.9911420950295916,564.0
