,precision,recall,f1-score,support
0.0,0.19090909090909092,0.1826086956521739,0.18666666666666668,115.0
1.0,0.308411214953271,0.28448275862068967,0.29596412556053814,116.0
2.0,0.2631578947368421,0.2857142857142857,0.273972602739726,105.0
3.0,0.2033898305084746,0.22641509433962265,0.2142857142857143,106.0
4.0,0.30434782608695654,0.28688524590163933,0.29535864978902954,122.0
accuracy,0.25354609929078015,0.25354609929078015,0.25354609929078015,0.25354609929078015
macro avg,0.254043171438927,0.25322121604568226,0.25324955180833497,564.0
weighted avg,0.2554106066542559,0.25354609929078015,0.2541022509005455,564.0
