,precision,recall,f1-score,support
0.0,0.0,0.0,0.0,125.0
1.0,0.22842639593908629,0.39473684210526316,0.28938906752411575,114.0
2.0,0.1651376146788991,0.47368421052631576,0.24489795918367346,76.0
3.0,0.2222222222222222,0.03389830508474576,0.0588235294117647,118.0
accuracy,0.19630484988452657,0.19630484988452657,0.19630484988452657,0.19630484988452657
macro avg,0.1539465582100519,0.2255798394290812,0.1482776390298885,433.0
weighted avg,0.1496842726902411,0.19630484988452657,0.13520502324779815,433.0
