,precision,recall,f1-score,support
0.0,0.7031802120141343,0.7566539923954373,0.728937728937729,789.0
1.0,0.656111462951235,0.6658097686375322,0.6609250398724084,1556.0
2.0,0.9719871607820251,0.97683284457478,0.9744039783530788,3410.0
3.0,0.6017350157728707,0.6379598662207357,0.6193181818181819,1196.0
4.0,0.7094531974050047,0.6570815450643777,0.6822638146167558,2330.0
accuracy,0.7820277987285853,0.7820277987285853,0.7820277987285853,0.7820277987285853
macro avg,0.728493409785054,0.7388676033785725,0.7331697487196307,9281.0
weighted avg,0.7825553141596803,0.7820277987285853,0.7818799730491242,9281.0
