,precision,recall,f1-score,support
0.0,0.9665924276169265,0.9730941704035875,0.9698324022346368,446.0
1.0,0.896551724137931,0.9077306733167082,0.9021065675340768,401.0
2.0,0.9615384615384616,0.9836065573770492,0.9724473257698543,305.0
3.0,0.9195561719833565,0.9338028169014084,0.9266247379454927,710.0
4.0,0.9577167019027484,0.9457202505219207,0.9516806722689075,479.0
5.0,0.9170506912442397,0.9191685912240185,0.9181084198385236,433.0
6.0,0.9843400447427293,0.9401709401709402,0.9617486338797815,468.0
accuracy,0.9413942011104257,0.9413942011104257,0.9413942011104257,0.9413942011104257
macro avg,0.9433351747380561,0.9433277142736617,0.943221251353039,3242.0
weighted avg,0.9417865414662687,0.9413942011104257,0.9414819036833878,3242.0
