,precision,recall,f1-score,support
0.0,0.977961432506887,0.9466666666666667,0.962059620596206,375.0
1.0,0.8785310734463276,0.8293333333333334,0.8532235939643347,375.0
2.0,0.7640449438202247,0.9066666666666666,0.8292682926829269,375.0
3.0,0.8298429319371727,0.8453333333333334,0.8375165125495377,375.0
4.0,0.797583081570997,0.704,0.7478753541076488,375.0
accuracy,0.8464,0.8464,0.8464,0.8464
macro avg,0.8495926926563218,0.8464,0.8459886747801308,1875.0
weighted avg,0.8495926926563219,0.8464,0.8459886747801307,1875.0
