,precision,recall,f1-score,support
0.0,0.9846153846153847,1.0,0.9922480620155039,64.0
1.0,1.0,0.987012987012987,0.9934640522875817,77.0
accuracy,0.9929078014184397,0.9929078014184397,0.9929078014184397,0.9929078014184397
macro avg,0.9923076923076923,0.9935064935064934,0.9928560571515428,141.0
weighted avg,0.9930169121658483,0.9929078014184397,0.992912113440681,141.0
