,precision,recall,f1-score,support
0.0,0.9861111111111112,0.9861111111111112,0.9861111111111112,144.0
1.0,0.9935483870967742,0.9935483870967742,0.9935483870967742,155.0
2.0,0.9735099337748344,0.9932432432432432,0.983277591973244,148.0
3.0,0.9914529914529915,0.9830508474576272,0.9872340425531915,118.0
4.0,1.0,0.984,0.9919354838709677,125.0
5.0,0.9864864864864865,0.9798657718120806,0.9831649831649831,149.0
6.0,0.9828571428571429,0.9885057471264368,0.98567335243553,174.0
accuracy,0.9871668311944719,0.9871668311944719,0.9871668311944719,0.9871668311944719
macro avg,0.9877094361113344,0.9869035868353248,0.9872778503151144,1013.0
weighted avg,0.9872404269829791,0.9871668311944719,0.9871760927270999,1013.0
