,precision,recall,f1-score,support
0.0,0.8147612156295224,0.8742236024844721,0.8434456928838951,644.0
1.0,0.9268510258697591,0.8903170522707797,0.9082167832167831,1167.0
2.0,0.874439461883408,0.9435483870967742,0.9076803723816913,620.0
3.0,0.9851073149364871,0.9639948564080583,0.9744367417677642,2333.0
accuracy,0.9311502938706969,0.9311502938706969,0.9311502938706969,0.9311502938706969
macro avg,0.9002897545797941,0.9180209745650211,0.9084448975625334,4764.0
weighted avg,0.933406633536935,0.9311502938706969,0.9318200591209187,4764.0
