,precision,recall,f1-score,support
0.0,0.9676674364896074,0.9905437352245863,0.9789719626168224,423.0
1.0,0.9554896142433235,0.9333333333333333,0.9442815249266862,345.0
2.0,0.9391534391534392,0.9441489361702128,0.9416445623342176,376.0
3.0,0.9727722772277227,0.9585365853658536,0.9656019656019655,410.0
4.0,0.9835526315789473,0.9900662251655629,0.9867986798679869,302.0
accuracy,0.9633620689655172,0.9633620689655172,0.9633620689655172,0.9633620689655172
macro avg,0.9637270797386079,0.9633257630519099,0.9634597390695356,1856.0
weighted avg,0.963339689693401,0.9633620689655172,0.9632815888691952,1856.0
