,precision,recall,f1-score,support
0.0,0.6491228070175439,0.9117043121149897,0.7583262169086251,487.0
1.0,0.8170914542728636,0.6235697940503433,0.7073329007138222,874.0
2.0,0.7003105590062112,0.9356846473029046,0.8010657193605684,482.0
3.0,0.9396442185514613,0.8568945538818077,0.8963636363636365,1726.0
accuracy,0.8178761557859344,0.8178761557859344,0.8178761557859344,0.8178761557859344
macro avg,0.77654225971202,0.8319633268375113,0.790772118336663,3569.0
weighted avg,0.8376677917379778,0.8178761557859344,0.8183668074961645,3569.0
