,precision,recall,f1-score,support
0.0,0.8840182648401826,0.88,0.882004555808656,1100.0
1.0,0.9597107438016529,0.9717573221757322,0.9656964656964657,956.0
2.0,0.8736141906873615,0.8593238822246456,0.8664101154480485,917.0
3.0,0.8364197530864198,0.8451143451143451,0.8407445708376422,962.0
4.0,0.9043020193151887,0.9027169149868537,0.9035087719298246,1141.0
accuracy,0.8920409771473601,0.8920409771473601,0.8920409771473601,0.8920409771473601
macro avg,0.891612994346161,0.8917824929003153,0.8916728959441274,5076.0
weighted avg,0.8919330539335416,0.8920409771473601,0.89196388778151,5076.0
