,precision,recall,f1-score,support
0.0,0.9974424552429667,0.9961685823754789,0.9968051118210861,783.0
1.0,0.9960578186596584,0.9973684210526316,0.9967126890203813,760.0
accuracy,0.9967595593000648,0.9967595593000648,0.9967595593000648,0.9967595593000648
macro avg,0.9967501369513125,0.9967685017140553,0.9967589004207338,1543.0
weighted avg,0.9967604566666126,0.9967595593000648,0.9967595892491253,1543.0
