,precision,recall,f1-score,support
0.0,0.9448051948051948,0.9572368421052632,0.9509803921568627,304.0
1.0,0.9737827715355806,0.9848484848484849,0.9792843691148776,264.0
2.0,0.9598393574297188,0.952191235059761,0.956,251.0
3.0,0.9457627118644067,0.9653979238754326,0.9554794520547946,289.0
4.0,0.9620689655172414,0.9269102990033222,0.9441624365482234,301.0
accuracy,0.9567068843151171,0.9567068843151171,0.9567068843151171,0.9567068843151171
macro avg,0.9572518002304286,0.9573169569784528,0.9571813299749516,1409.0
weighted avg,0.9567972263807915,0.9567068843151171,0.956644121864347,1409.0
