,precision,recall,f1-score,support
0.0,0.9804597701149426,0.9895591647331786,0.9849884526558892,862.0
1.0,0.983510011778563,0.9858323494687131,0.9846698113207546,847.0
2.0,0.9874551971326165,0.9769503546099291,0.982174688057041,564.0
3.0,0.9844236760124611,0.9723076923076923,0.978328173374613,325.0
accuracy,0.9834488067744419,0.9834488067744419,0.9834488067744419,0.9834488067744419
macro avg,0.9839621637596458,0.9811623902798783,0.9825402813520745,2598.0
weighted avg,0.9834687173604192,0.9834488067744419,0.9834405530365574,2598.0
