,precision,recall,f1-score,support
0.0,0.9942028985507246,0.997093023255814,0.9956458635703919,344.0
1.0,0.981549815498155,0.9779411764705882,0.9797421731123388,272.0
2.0,0.9621212121212122,0.9694656488549618,0.9657794676806084,131.0
3.0,1.0,0.9897959183673469,0.9948717948717948,98.0
accuracy,0.9857988165680474,0.9857988165680474,0.9857988165680474,0.9857988165680474
macro avg,0.9844684815425229,0.9835739417371777,0.9840098248087835,845.0
weighted avg,0.985828669473167,0.9857988165680474,0.9858066204951084,845.0
