,precision,recall,f1-score,support
0.0,0.5050228310502283,0.5276717557251909,0.5160989267382174,1048.0
1.0,0.575136612021858,0.4017175572519084,0.4730337078651686,1048.0
2.0,0.6109704641350211,0.6908396946564885,0.6484549932825795,1048.0
3.0,0.5191256830601093,0.36259541984732824,0.42696629213483145,1048.0
4.0,0.5369504209541628,0.5477099236641222,0.5422768068020785,1048.0
5.0,0.4256410256410256,0.39599236641221375,0.4102817597627286,1048.0
6.0,0.2467700258397933,0.36450381679389315,0.2942989214175655,1048.0
accuracy,0.4701472191930207,0.4701472191930207,0.4701472191930207,0.4701472191930207
macro avg,0.48851672324317114,0.47014721919302066,0.4730587725718813,7336.0
weighted avg,0.4885167232431712,0.4701472191930207,0.47305877257188145,7336.0
