,precision,recall,f1-score,support
0.0,0.44970414201183434,0.6333333333333333,0.5259515570934256,480.0
1.0,0.85,0.76,0.8024844720496895,425.0
2.0,0.5304054054054054,0.37740384615384615,0.44101123595505615,416.0
3.0,0.4966442953020134,0.6836027713625866,0.5753158406219631,433.0
4.0,0.6078431372549019,0.372,0.4615384615384615,500.0
accuracy,0.5616681455190772,0.5616681455190772,0.5616681455190772,0.5616681455190772
macro avg,0.586919395994831,0.5652679901699532,0.5612603134517192,2254.0
weighted avg,0.5841726642890647,0.5616681455190772,0.5576106086698343,2254.0
