,precision,recall,f1-score,support
0.0,0.9929078014184397,0.9929078014184397,0.9929078014184397,141.0
1.0,0.9875776397515528,0.9875776397515528,0.9875776397515528,161.0
2.0,0.9938271604938271,0.9938271604938271,0.9938271604938271,162.0
3.0,0.9931972789115646,0.9864864864864865,0.9898305084745763,148.0
4.0,0.9784172661870504,0.9855072463768116,0.9819494584837546,138.0
accuracy,0.9893333333333333,0.9893333333333333,0.9893333333333333,0.9893333333333333
macro avg,0.9891854293524869,0.9892612669054236,0.98921851372443,750.0
weighted avg,0.989353040016966,0.9893333333333333,0.9893385873666606,750.0
