,precision,recall,f1-score,support
0.0,0.9732824427480916,0.9622641509433962,0.9677419354838709,265.0
1.0,0.9960159362549801,0.9765625,0.9861932938856015,256.0
2.0,0.8706896551724138,0.8669527896995708,0.8688172043010752,233.0
3.0,0.9104477611940298,0.9207547169811321,0.9155722326454034,265.0
4.0,0.9026217228464419,0.9233716475095786,0.9128787878787878,261.0
accuracy,0.93125,0.93125,0.93125,0.93125
macro avg,0.9306115036431916,0.9299811610267354,0.9302406908389477,1280.0
weighted avg,0.9317371430031491,0.93125,0.9314371172089734,1280.0
