,precision,recall,f1-score,support
0.0,0.9646017699115044,0.9646017699115044,0.9646017699115044,113.0
1.0,0.912621359223301,0.94,0.9261083743842364,100.0
2.0,0.9838709677419355,0.953125,0.9682539682539683,64.0
3.0,1.0,0.984,0.9919354838709677,125.0
4.0,0.9803921568627451,0.9803921568627451,0.9803921568627451,102.0
5.0,0.9609375,0.984,0.9723320158102766,125.0
6.0,0.992,0.9763779527559056,0.9841269841269842,127.0
accuracy,0.9708994708994709,0.9708994708994709,0.9708994708994709,0.9708994708994709
macro avg,0.9706319648199265,0.9689281256471649,0.969678679031526,756.0
weighted avg,0.9713373880394366,0.9708994708994709,0.9710273225541801,756.0
