,precision,recall,f1-score,support
0.0,0.7676767676767676,0.7794871794871795,0.7735368956743003,195.0
1.0,0.9081632653061225,0.8877805486284289,0.8978562421185372,401.0
2.0,0.5841584158415841,0.8428571428571429,0.6900584795321637,210.0
3.0,0.9496402877697842,0.8439897698209718,0.8937034529451591,782.0
accuracy,0.8469773299748111,0.8469773299748111,0.8469773299748111,0.8469773299748111
macro avg,0.8024096841485646,0.8385286601984309,0.81378876756754,1588.0
weighted avg,0.8684901835311264,0.8469773299748111,0.8530657611151705,1588.0
