,precision,recall,f1-score,support
0.0,0.8125,0.8921568627450981,0.8504672897196263,102.0
1.0,0.7214285714285714,0.808,0.7622641509433963,125.0
2.0,0.9075144508670521,0.8920454545454546,0.8997134670487106,176.0
3.0,0.9606299212598425,0.9457364341085271,0.9531249999999999,129.0
4.0,0.6592592592592592,0.7235772357723578,0.689922480620155,123.0
5.0,0.8344827586206897,0.7610062893081762,0.7960526315789475,159.0
6.0,0.7905405405405406,0.7048192771084337,0.7452229299363056,166.0
accuracy,0.8142857142857143,0.8142857142857143,0.8142857142857143,0.8142857142857143
macro avg,0.8123365002822792,0.818191650512578,0.8138239928353059,980.0
weighted avg,0.8180599508806128,0.8142857142857143,0.8147685893129162,980.0
