,precision,recall,f1-score,support
0.0,0.9648148148148148,0.9472727272727273,0.9559633027522936,550.0
1.0,0.9080645161290323,0.9623931623931624,0.9344398340248963,585.0
2.0,0.9924242424242424,0.9475587703435805,0.9694727104532839,553.0
accuracy,0.95260663507109,0.95260663507109,0.95260663507109,0.95260663507109
macro avg,0.9551011911226966,0.9524082200031567,0.9532919490768247,1688.0
weighted avg,0.9541922370522739,0.95260663507109,0.9529298153430045,1688.0
