,precision,recall,f1-score,support
0.0,1.0,1.0,1.0,63.0
1.0,1.0,1.0,1.0,44.0
2.0,1.0,1.0,1.0,19.0
3.0,1.0,1.0,1.0,15.0
accuracy,1.0,1.0,1.0,1.0
macro avg,1.0,1.0,1.0,141.0
weighted avg,1.0,1.0,1.0,141.0
