,precision,recall,f1-score,support
0.0,0.9976958525345622,0.9954022988505747,0.996547756041427,435.0
1.0,0.9881796690307328,0.9952380952380953,0.9916963226571768,420.0
2.0,0.9957386363636364,0.9943262411347518,0.9950319375443578,705.0
3.0,0.9985652797704447,0.997134670487106,0.9978494623655914,698.0
accuracy,0.995571302037201,0.995571302037201,0.995571302037201,0.995571302037201
macro avg,0.995044859424844,0.995525326427632,0.9952813696521383,2258.0
weighted avg,0.9955834635790861,0.995571302037201,0.9955744774552658,2258.0
