,precision,recall,f1-score,support
0.0,0.7681818181818182,0.8666666666666667,0.8144578313253013,195.0
1.0,0.938337801608579,0.8728179551122195,0.9043927648578811,401.0
2.0,0.8977777777777778,0.9619047619047619,0.928735632183908,210.0
3.0,0.987012987012987,0.9718670076726342,0.979381443298969,782.0
accuracy,0.9326196473551638,0.9326196473551638,0.9326196473551638,0.9326196473551638
macro avg,0.8978275961452905,0.9183140978390706,0.9067419179165148,1588.0
weighted avg,0.9360493716423072,0.9326196473551638,0.9334959365458807,1588.0
