,precision,recall,f1-score,support
0.0,0.99581589958159,0.9916666666666667,0.9937369519832986,240.0
1.0,0.9849624060150376,0.9924242424242424,0.9886792452830188,132.0
2.0,0.989010989010989,1.0,0.994475138121547,90.0
3.0,1.0,0.9904761904761905,0.9952153110047847,105.0
accuracy,0.9929453262786596,0.9929453262786596,0.9929453262786596,0.9929453262786596
macro avg,0.9924473236519041,0.993641774891775,0.9930266615981622,567.0
weighted avg,0.9929838492143838,0.9929453262786596,0.9929504390472518,567.0
