,precision,recall,f1-score,support
0.0,0.8984375,0.9556786703601108,0.9261744966442953,361.0
1.0,0.9376947040498442,0.9678456591639871,0.9525316455696203,311.0
2.0,0.9299363057324841,0.906832298136646,0.918238993710692,322.0
3.0,0.9140127388535032,0.8885448916408669,0.901098901098901,323.0
4.0,0.9608938547486033,0.9197860962566845,0.9398907103825136,374.0
accuracy,0.9278533412182141,0.9278533412182141,0.9278533412182141,0.9278533412182141
macro avg,0.9281950206768869,0.927737523111659,0.9275869494812043,1691.0
weighted avg,0.928444055133661,0.9278533412182141,0.927754797027552,1691.0
