,precision,recall,f1-score,support
0.0,0.9369277721261444,0.9808306709265175,0.9583766909469302,939.0
1.0,0.9915809167446211,0.9715857011915674,0.9814814814814815,2182.0
accuracy,0.9743671900032042,0.9743671900032042,0.9743671900032042,0.9743671900032042
macro avg,0.9642543444353828,0.9762081860590425,0.9699290862142058,3121.0
weighted avg,0.9751376925226573,0.9743671900032042,0.9745300561972958,3121.0
